iter	Passed	Remaining
402	10548	10391
403	10574	10364
404	10602	10340
405	10630	10316
406	10656	10289
407	10680	10261
408	10705	10234
409	10728	10205
410	10753	10177
411	10785	10157
412	10813	10132
413	10839	10106
414	10868	10083
415	10895	10057
416	10919	10029
417	10945	10002
418	10971	9976
419	10999	9951
420	11024	9924
421	11048	9896
422	11073	9869
423	11105	9848
424	11130	9820
425	11153	9792
426	11179	9765
427	11204	9738
428	11229	9711
429	11257	9687
430	11284	9661
431	11311	9635
432	11336	9608
433	11362	9582
434	11390	9557
435	11419	9533
436	11448	9510
437	11472	9482
438	11500	9457
439	11526	9430
440	11552	9404
441	11587	9385
442	11611	9357
443	11635	9329
444	11662	9304
445	11686	9276
446	11709	9246
447	11743	9227
448	11769	9200
449	11796	9175
450	11821	9147
451	11845	9120
452	11869	9092
453	11895	9065
454	11921	9039
455	11946	9012
456	11971	8985
457	11999	8960
458	12025	8933
459	12050	8906
460	12075	8879
461	12099	8852
462	12124	8824
463	12156	8802
464	12197	8787
465	12225	8762
466	12258	8741
467	12290	8718
468	12318	8693
469	12347	8669
470	12377	8646
471	12403	8619
472	12439	8599
473	12465	8573
474	12489	8545
475	12514	8518
476	12538	8490
477	12567	8465
478	12600	8444
479	12626	8417
480	12651	8390
481	12676	8363
482	12702	8336
483	12727	8309
484	12751	8281
485	12780	8257
486	12805	8230
487	12832	8204
488	12859	8178
489	12883	8150
490	12912	8126
491	12936	8098
492	12970	8077
493	12995	8049
494	13020	8022
495	13043	7994
496	13067	7966
497	13096	7941
498	13120	7914
499	13145	7887
500	13169	7859
501	13203	7838
502	13228	7811
503	13260	7787
504	13284	7760
505	13312	7734
506	13341	7710
507	13368	7684
508	13393	7657
509	13424	7633
510	13450	7606
511	13475	7579
512	13499	7552
513	13525	7525
514	13552	7499
515	13578	7473
516	13604	7447
517	13633	7422
518	13658	7394
519	13689	7371
520	13714	7344
521	13739	7317
522	13764	7290
523	13789	7263
524	13815	7236
525	13841	7210
526	13867	7183
527	13895	7158
528	13920	7131
529	13942	7102
530	13967	7075
531	14002	7053
532	14026	7026
533	14050	6998
534	14081	6974
535	14108	6949
536	14135	6922
537	14165	6898
538	14188	6870
539	14212	6843
540	14238	6816
541	14262	6789
542	14288	6762
543	14313	6735
544	14337	6708
545	14366	6683
546	14398	6659
547	14423	6632
548	14450	6606
549	14475	6579
550	14504	6554
551	14528	6527
552	14554	6500
553	14584	6476
554	14608	6448
555	14635	6422
556	14659	6395
557	14683	6368
558	14708	6341
559	14735	6315
560	14763	6289
561	14792	6264
562	14816	6237
563	14839	6209
564	14865	6182
565	14890	6156
566	14924	6133
567	14949	6106
568	14976	6080
569	15000	6052
570	15024	6025
571	15048	5998
572	15074	5971
573	15098	5944
574	15123	5918
575	15149	5891
576	15177	5865
577	15203	5839
578	15232	5814
579	15265	5790
580	15291	5763
581	15317	5737
582	15343	5711
583	15369	5684
584	15395	5658
585	15427	5633
586	15485	5618
587	15521	5596
588	15555	5572
589	15588	5548
590	15619	5523
591	15649	5498
592	15671	5470
593	15695	5443
594	15717	5415
595	15739	5387
596	15764	5360
597	15802	5338
598	15830	5311
599	15861	5287
600	15886	5260
601	15912	5233
602	15937	5206
603	15971	5182
604	15994	5155
605	16018	5128
606	16045	5101
607	16069	5074
608	16092	5047
609	16116	5019
610	16139	4992
611	16164	4965
612	16188	4938
613	16210	4910
614	16231	4882
615	16254	4855
616	16274	4827
617	16298	4799
618	16321	4772
619	16343	4744
620	16368	4718
621	16389	4690
622	16410	4662
623	16432	4634
624	16453	4606
625	16474	4579
626	16496	4551
627	16518	4524
628	16546	4498
629	16568	4470
630	16592	4444
631	16616	4417
632	16641	4390
633	16665	4363
634	16688	4336
635	16714	4310
636	16737	4282
637	16775	4259
638	16797	4232
639	16821	4205
640	16842	4177
641	16875	4153
642	16898	4126
643	16921	4099
