iter	MultiClass
732	0.691282035
733	0.6909399622
734	0.690331042
735	0.6902662876
736	0.6898609945
737	0.6892788035
738	0.6889775023
739	0.6885924001
740	0.6883779453
741	0.6877235122
742	0.6872040888
743	0.6868254812
744	0.68645606
745	0.6862369582
746	0.6860614657
747	0.685693287
748	0.6851040141
749	0.6846731594
750	0.6842909991
751	0.6837129037
752	0.6835393655
753	0.6831714376
754	0.6829402287
755	0.6823679054
756	0.6819653171
757	0.6816775576
758	0.6815225899
759	0.6813483019
760	0.68110335
761	0.6807266007
762	0.6802380477
763	0.6796578211
764	0.6792248381
765	0.678976893
766	0.6788158761
767	0.678582786
768	0.6785229342
769	0.6783848954
770	0.6780864441
771	0.6775810615
772	0.6773860367
773	0.6769822204
774	0.6768306671
775	0.6767577404
776	0.6764081688
777	0.6761231754
778	0.6759067841
779	0.6757458817
780	0.6753498019
781	0.6747420208
782	0.6742708266
783	0.6738016862
784	0.6736360911
785	0.6731577857
786	0.6728467434
787	0.6726048901
788	0.6720760027
789	0.6717138337
790	0.6716052397
791	0.6714160371
792	0.6711136474
793	0.670726692
794	0.6706047809
795	0.6704425779
796	0.6699782432
797	0.669742109
798	0.6694447235
799	0.6692690991
